"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Aaron Judge","NYY","56","250","214","58","10","0","17","40","40","31","64","2","3","1","",".272",".365",".550",".915",".389","157","","0.0","0.7","","16.2","-0.7","2.4","15640"
"Juan Soto","WSN","56","247","195","55","10","1","12","38","35","48","36","2","4","2","",".284",".427",".525",".952",".407","163","","-0.4","-0.5","","17.9","-3.0","2.4","20123"
"Mookie Betts","LAD","55","255","221","58","13","1","11","39","30","28","41","3","6","1","",".264",".352",".476",".828",".359","135","","0.8","3.4","","11.2","1.0","2.2","13611"
"José Ramírez","CLE","57","254","221","58","14","2","12","36","38","28","32","2","9","3","",".265",".352",".506",".857",".365","139","","0.9","0.9","","12.3","0.5","2.2","13510"
"Trea Turner","LAD","57","260","236","67","13","1","8","36","32","18","46","2","10","3","",".284",".338",".457",".795",".345","125","","1.3","-0.9","","8.8","1.7","2.0","16252"
"Yordan Alvarez","HOU","52","225","194","54","10","1","14","34","40","26","47","2","1","0","",".280",".370",".565",".935",".395","163","","-0.2","0.1","","16.0","-4.0","2.0","19556"
"Corey Seager","TEX","53","236","207","58","12","1","10","32","32","23","37","2","1","1","",".280",".356",".495",".851",".364","140","","0.0","-1.5","","10.8","0.5","2.0","13624"
"Ronald Acuña Jr.","ATL","54","250","212","57","11","0","11","40","29","30","58","5","15","4","",".267",".368",".486",".854",".370","137","","1.7","0.7","","12.5","-2.4","1.9","18401"
"Carlos Correa","MIN","55","243","213","57","12","0","10","32","32","26","47","2","0","0","",".269",".350",".469",".819",".355","133","","-0.2","-0.2","","8.8","2.1","1.9","14162"
"Nolan Arenado","STL","56","245","221","59","12","1","11","31","36","21","34","2","1","1","",".266",".331",".476",".807",".346","127","","0.1","1.9","","7.9","2.1","1.9","9777"
"Kyle Tucker","HOU","56","233","206","57","12","1","13","33","37","23","39","1","7","2","",".276",".350",".524",".874",".373","148","","0.3","0.4","","13.0","-2.2","1.9","18345"
"Vladimir Guerrero Jr.","TOR","56","250","218","63","12","0","14","38","41","27","40","2","1","1","",".290",".372",".546",".918",".391","154","","-0.6","0.0","","14.8","-4.6","1.9","19611"
"Alex Bregman","HOU","56","243","205","53","13","0","9","32","32","33","32","3","1","0","",".261",".368",".455",".823",".359","138","","-0.4","-1.1","","10.2","-0.2","1.8","17678"
"Freddie Freeman","LAD","57","257","221","63","13","1","10","37","35","30","41","3","3","1","",".285",".375",".484",".860",".369","141","","0.1","0.1","","12.6","-4.2","1.8","5361"
"Paul Goldschmidt","STL","56","251","220","61","12","0","11","35","36","27","53","2","2","1","",".279",".360",".492",".852",".368","142","","-0.1","0.4","","12.4","-4.1","1.8","9218"
"Jose Altuve","HOU","56","257","227","62","12","0","10","37","29","24","37","3","4","1","",".275",".348",".458",".806",".350","132","","0.2","-1.5","","9.5","-0.8","1.8","5417"
"Rafael Devers","BOS","49","217","194","55","13","1","11","32","33","17","41","2","2","1","",".284",".347",".534",".881",".373","141","","0.3","-1.0","","10.4","-0.5","1.8","17350"
"Marcus Semien","TEX","57","263","234","59","12","1","10","35","29","24","45","2","7","2","",".252",".323",".436",".759",".331","117","","0.9","1.2","","6.0","2.3","1.7","12533"
"Francisco Lindor","NYM","57","255","226","55","10","1","10","31","33","23","47","3","5","2","",".244",".319",".433",".752",".326","116","","-0.1","0.5","","4.7","2.9","1.7","12916"
"Brandon Nimmo","NYM","51","238","202","52","10","2","6","33","22","28","45","4","2","1","",".260",".361",".422",".783",".346","129","","-0.1","-0.7","","8.1","0.0","1.7","12927"
"Yandy Díaz","TBR","54","241","205","57","12","0","5","31","24","31","33","2","2","1","",".281",".379",".416",".794",".352","136","","-0.7","-0.1","","9.2","-0.6","1.7","16578"
"Alejandro Kirk","TOR","49","205","180","52","10","0","8","27","29","21","23","2","0","0","",".288",".365",".483",".849",".368","138","","-0.7","0.0","","8.2","0.3","1.7","22581"
"Manny Machado","SDP","55","243","215","57","11","1","11","32","33","24","44","1","4","1","",".264",".339",".468",".807",".345","126","","-0.1","0.2","","7.4","0.3","1.7","11493"
"Xander Bogaerts","BOS","56","241","213","59","14","0","7","29","31","24","46","2","2","1","",".276",".353",".445",".798",".348","123","","0.3","-0.5","","6.6","1.8","1.7","12161"
"Fernando Tatis Jr.","SDP","33","148","129","35","7","0","9","23","23","15","36","1","6","2","",".273",".353",".547",".900",".383","152","","0.6","-0.6","","9.6","1.0","1.6","19709"
"Pete Alonso","NYM","57","248","216","56","11","0","15","35","42","25","52","5","1","0","",".257",".345",".520",".865",".367","144","","-1.0","-0.1","","11.7","-4.7","1.6","19251"
"Byron Buxton","MIN","51","231","209","51","11","1","13","33","33","15","62","3","4","1","",".245",".303",".502",".805",".344","125","","0.7","2.3","","7.3","0.9","1.6","14161"
"J.T. Realmuto","PHI","47","202","181","45","9","1","6","24","25","16","45","3","4","2","",".250",".321",".419",".740",".323","106","","0.7","1.5","","2.1","4.8","1.6","11739"
"Austin Riley","ATL","56","239","216","59","12","1","13","32","38","18","59","3","1","0","",".275",".338",".513",".851",".365","133","","-0.6","-3.1","","8.8","-2.2","1.5","18360"
"Mike Trout","LAA","38","172","142","36","7","1","9","26","24","26","45","3","1","0","",".254",".377",".513",".890",".379","149","","0.0","-0.8","","9.6","-0.4","1.5","10155"
"Will Smith","LAD","46","195","168","41","8","1","9","25","28","21","37","4","0","0","",".246",".342",".461",".803",".349","127","","-0.6","0.0","","5.7","1.9","1.5","19197"
"Adley Rutschman","BAL","41","172","149","38","9","1","6","20","20","19","30","2","1","0","",".253",".345",".430",".776",".340","121","","0.0","0.2","","4.1","1.7","1.5","26288"
"Bryan Reynolds","PIT","56","252","220","58","11","2","8","33","30","26","53","3","2","1","",".264",".347",".450",".797",".345","123","","-0.1","-2.0","","6.7","-1.8","1.4","19326"
"Brandon Lowe","TBR","49","219","192","46","10","1","10","29","29","21","55","3","2","1","",".241",".324",".465",".789",".341","128","","0.5","-0.8","","7.6","-1.0","1.4","18882"
"Luis Robert","CHW","50","221","204","57","11","0","9","28","31","12","46","3","6","2","",".282",".328",".475",".803",".346","127","","0.4","-1.4","","7.3","-0.8","1.4","20043"
"DJ LeMahieu","NYY","51","232","203","57","10","0","5","31","22","23","31","2","2","1","",".280",".357",".410",".767",".339","122","","-0.3","0.8","","5.6","0.4","1.4","9874"
"Julio Rodríguez","SEA","44","192","172","46","9","1","8","25","24","15","49","3","8","3","",".266",".332",".463",".794",".342","128","","0.2","0.0","","6.4","0.6","1.4","23697"
"Willy Adames","MIL","53","237","210","51","11","0","10","31","29","22","63","1","3","1","",".244",".317",".441",".759",".330","111","","0.2","-0.3","","3.2","1.8","1.4","15986"
"Matt Chapman","TOR","56","230","201","46","10","1","11","28","31","24","64","3","1","0","",".229",".316",".444",".760",".331","112","","0.2","1.5","","3.4","2.3","1.4","16505"
"Matt Olson","ATL","56","245","211","53","12","0","13","34","36","29","54","3","1","0","",".251",".345",".493",".838",".359","129","","-0.5","0.9","","8.0","-3.4","1.4","14344"
"Sean Murphy","OAK","45","188","166","38","9","0","7","21","23","17","43","3","0","0","",".228",".310",".418",".728",".317","110","","-0.2","0.4","","2.0","2.3","1.3","19352"
"Seiya Suzuki","CHC","50","217","187","50","10","0","10","29","31","26","46","2","4","2","",".266",".359",".482",".842",".361","132","","-0.4","-0.2","","7.8","-2.3","1.3","30116"
"Ketel Marte","ARI","55","243","216","60","15","1","7","30","30","22","38","2","2","1","",".276",".347",".452",".799",".346","121","","0.0","-0.5","","6.0","-1.5","1.3","13613"
"Shohei Ohtani","LAA","55","247","210","53","10","2","13","36","34","32","63","2","8","3","",".253",".354",".502",".855",".362","137","","0.1","0.0","","10.4","-5.8","1.3","19755"
"Jake Cronenworth","SDP","54","240","210","53","12","2","5","28","25","23","41","4","1","1","",".250",".333",".399",".732",".322","110","","0.1","0.7","","3.0","1.1","1.3","18036"
"George Springer","TOR","53","244","212","53","10","1","12","36","30","24","48","3","4","2","",".252",".335",".469",".805",".349","125","","0.2","-1.4","","7.0","-2.5","1.3","12856"
"Ty France","SEA","51","229","202","56","11","0","8","30","28","16","38","7","0","0","",".277",".351",".453",".804",".350","134","","-0.6","0.6","","8.2","-3.3","1.3","17982"
"Tim Anderson","CHW","55","256","239","68","13","0","7","33","25","11","48","2","7","2","",".284",".319",".424",".743",".323","111","","1.0","-2.7","","4.2","-0.2","1.3","15172"
"Christian Yelich","MIL","55","249","211","54","10","2","8","34","27","33","60","2","6","2","",".254",".358",".431",".789",".345","121","","0.9","-0.1","","7.0","-3.4","1.3","11477"
"Jorge Polanco","MIN","56","244","217","56","12","1","9","30","31","23","46","2","3","2","",".257",".331",".437",".767",".335","119","","0.1","-1.7","","5.3","-0.9","1.3","13152"
"Luis Arraez","MIN","53","239","211","64","11","1","3","30","21","22","22","1","2","1","",".302",".370",".407",".777",".342","124","","0.0","0.4","","6.4","-2.1","1.2","18568"
"J.P. Crawford","SEA","56","244","216","56","12","1","4","27","23","22","37","2","2","1","",".258",".331",".376",".707",".314","109","","-0.2","-0.6","","2.2","1.9","1.2","15491"
"Alek Thomas","ARI","52","219","196","51","11","2","6","26","25","17","43","2","4","2","",".258",".323",".425",".749",".327","108","","0.1","1.3","","2.1","2.0","1.2","23792"
"Ke'Bryan Hayes","PIT","52","233","207","53","12","2","5","27","23","21","49","2","5","2","",".256",".326",".398",".724",".318","105","","0.2","1.3","","1.6","2.0","1.2","18577"
"Bobby Witt Jr.","KCR","53","233","213","54","12","2","9","29","30","15","53","3","9","3","",".255",".309",".458",".767",".330","113","","0.5","-1.5","","4.0","0.1","1.2","25764"
"Bo Bichette","TOR","56","253","232","63","14","0","9","34","33","16","53","2","6","2","",".270",".318",".451",".769",".333","114","","0.3","-3.2","","4.2","-0.8","1.2","19612"
"Daulton Varsho","ARI","50","212","189","46","10","1","8","26","25","18","46","2","4","1","",".242",".314",".432",".746",".324","106","","0.5","2.7","","2.0","2.4","1.2","19918"
"Max Muncy","LAD","54","223","184","40","8","1","9","28","28","34","52","3","1","0","",".219",".345",".415",".760",".336","119","","-0.1","-1.1","","4.8","-1.4","1.2","13301"
"Dylan Carlson","STL","54","235","208","52","12","2","6","29","24","20","49","3","2","1","",".251",".325",".414",".740",".324","112","","0.0","0.8","","3.4","-0.3","1.2","20126"
"Nico Hoerner","CHC","53","219","199","56","11","1","4","24","23","15","28","3","5","2","",".279",".336",".400",".736",".320","104","","0.0","0.1","","1.1","2.4","1.2","21479"
"Oneil Cruz","PIT","48","195","176","43","8","2","8","23","24","15","51","2","6","3","",".244",".308",".446",".753",".326","110","","-0.1","0.0","","2.3","2.0","1.1","21711"
"Tommy Edman","STL","49","211","191","50","10","1","4","26","20","14","34","2","9","2","",".262",".319",".391",".710",".311","103","","1.3","0.3","","2.1","1.7","1.1","19470"
"Luis Urías","MIL","52","215","187","45","9","0","7","25","25","22","45","3","2","1","",".242",".331",".411",".742",".326","108","","-0.2","0.5","","1.9","1.8","1.1","16622"
"Gleyber Torres","NYY","48","202","181","48","9","0","7","25","27","18","38","1","4","2","",".264",".332",".446",".778",".338","122","","-0.2","-0.6","","4.8","-0.2","1.1","16997"
"Jeff McNeil","NYM","55","226","203","56","12","1","5","25","25","16","30","5","1","1","",".276",".340",".411",".751",".330","119","","-0.3","-0.7","","4.6","-1.4","1.1","15362"
"Rhys Hoskins","PHI","56","249","211","49","11","1","12","35","32","31","60","3","1","0","",".232",".336",".461",".797",".346","122","","-0.5","0.6","","5.9","-3.6","1.1","16472"
"Wander Franco","TBR","35","156","141","39","8","2","4","20","18","12","18","1","2","1","",".279",".337",".449",".786",".340","128","","0.1","0.0","","5.1","0.9","1.1","23667"
"Cedric Mullins","BAL","56","258","230","59","13","1","8","34","25","21","46","3","12","3","",".255",".322",".419",".741",".323","108","","0.9","-1.3","","3.4","-0.7","1.1","17929"
"Starling Marte","NYM","51","232","210","56","10","2","6","30","26","14","45","5","10","3","",".268",".325",".418",".743",".325","115","","1.1","0.0","","5.1","-2.3","1.1","9241"
"Yoán Moncada","CHW","50","219","191","47","10","0","6","26","24","23","56","2","1","1","",".245",".330",".402",".732",".322","110","","0.0","0.4","","2.6","1.1","1.1","17232"
