"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Gerrit Cole","NYY","18","18","112.0","8","5","12","0","0","89","39","14","145","28","1.04","11.67","2.26","3.12","2.96","","2.8","2.5","13125"
"Corbin Burnes","MIL","17","17","105.0","7","5","11","0","0","84","36","11","134","28","1.07","11.44","2.43","3.06","2.88","","2.7","2.9","19361"
"Carlos Rodón","SFG","17","17","98.0","7","5","10","0","0","77","35","10","124","32","1.12","11.37","2.94","3.22","3.02","","2.3","2.4","16137"
"Aaron Nola","PHI","18","18","111.0","7","6","11","0","0","99","44","14","121","27","1.14","9.82","2.22","3.59","3.49","","2.3","2.3","16149"
"Shohei Ohtani","LAA","16","16","96.0","6","5","10","0","0","76","34","11","120","29","1.10","11.26","2.75","3.19","3.14","","2.2","2.1","19755"
"Justin Verlander","HOU","17","17","104.0","7","5","10","0","0","88","40","15","117","24","1.08","10.15","2.04","3.47","3.53","","2.1","1.8","8700"
"Shane Bieber","CLE","19","19","115.0","7","6","12","0","0","103","45","14","126","31","1.16","9.82","2.42","3.48","3.40","","2.1","2.0","19427"
"Jacob deGrom","NYM","10","10","59.0","4","2","7","0","0","42","16","5","82","13","0.93","12.51","1.95","2.48","2.28","","2.1","2.0","10954"
"Zack Wheeler","PHI","17","17","100.0","7","5","10","0","0","92","39","11","100","25","1.16","8.99","2.23","3.47","3.44","","2.1","2.2","10310"
"Framber Valdez","HOU","18","18","111.0","8","5","12","0","0","101","40","8","104","42","1.29","8.43","3.43","3.21","3.44","","2.0","2.2","17295"
"Shane McClanahan","TBR","16","16","92.0","6","5","10","0","0","75","31","10","113","27","1.11","10.98","2.63","3.03","2.99","","2.0","2.0","21483"
"Kevin Gausman","TOR","18","18","107.0","7","5","10","0","0","96","42","14","115","26","1.14","9.66","2.20","3.57","3.46","","1.9","2.0","14107"
"Dylan Cease","CHW","18","18","101.0","7","6","9","0","0","81","40","12","127","41","1.21","11.29","3.67","3.55","3.57","","1.9","1.7","18525"
"Sandy Alcantara","MIA","19","19","121.0","7","7","12","0","0","112","49","13","115","36","1.23","8.50","2.71","3.63","3.63","","1.9","2.1","18684"
"Max Fried","ATL","17","17","106.0","7","5","11","0","0","102","41","11","101","28","1.23","8.55","2.41","3.50","3.51","","1.9","2.3","13743"
"Logan Webb","SFG","18","18","106.0","6","6","10","0","0","105","43","9","95","31","1.28","8.03","2.61","3.68","3.47","","1.7","1.8","17995"
"Frankie Montas","OAK","17","17","104.0","6","6","10","0","0","93","41","12","106","30","1.18","9.17","2.57","3.52","3.57","","1.7","1.6","14309"
"Joe Musgrove","SDP","17","17","105.0","6","6","10","0","0","96","43","13","105","29","1.19","8.99","2.47","3.69","3.73","","1.7","1.8","12970"
"Clayton Kershaw","LAD","16","16","92.0","6","5","9","0","0","87","37","13","94","20","1.16","9.15","1.96","3.60","3.61","","1.7","1.7","2036"
"Charlie Morton","ATL","17","17","94.0","6","5","9","0","0","84","38","10","103","30","1.21","9.85","2.88","3.62","3.51","","1.7","1.9","4676"
"Nathan Eovaldi","BOS","16","16","91.0","6","5","8","0","0","87","38","11","90","20","1.17","8.97","1.94","3.75","3.53","","1.7","1.5","9132"
"Max Scherzer","NYM","13","13","75.0","5","4","8","0","0","61","27","10","92","18","1.05","11.02","2.20","3.27","3.21","","1.6","1.7","3137"
"Robbie Ray","SEA","18","18","109.0","7","6","10","0","0","90","45","16","130","39","1.19","10.71","3.24","3.71","3.79","","1.6","1.5","11486"
"Tarik Skubal","DET","17","17","95.0","6","6","9","0","0","86","39","12","101","28","1.20","9.57","2.66","3.73","3.70","","1.6","1.5","22267"
"Luis Severino","NYY","14","22","86.0","6","4","7","0","0","74","33","11","101","25","1.15","10.53","2.63","3.42","3.37","","1.5","1.4","15890"
"Brandon Woodruff","MIL","15","15","82.0","5","5","8","0","0","72","32","10","91","23","1.15","10.05","2.48","3.54","3.47","","1.5","1.7","16162"
"Chris Bassitt","NYM","17","17","104.0","6","6","10","0","0","94","43","13","104","30","1.20","9.00","2.63","3.70","3.74","","1.5","1.6","12304"
"Pablo López","MIA","18","18","104.0","6","6","10","0","0","97","43","12","100","29","1.22","8.62","2.54","3.72","3.73","","1.5","1.7","17085"
"Alex Cobb","SFG","16","16","85.0","6","5","7","0","0","80","34","8","83","27","1.26","8.85","2.84","3.58","3.41","","1.5","1.6","6562"
"Luis Castillo","CIN","17","17","99.0","6","6","9","0","0","95","44","12","98","37","1.33","8.90","3.35","4.02","3.98","","1.5","1.7","15689"
"Sean Manaea","SDP","16","16","96.0","6","5","9","0","0","90","40","12","93","27","1.21","8.73","2.50","3.76","3.82","","1.4","1.6","15873"
"Lance Lynn","CHW","17","17","100.0","6","6","9","0","0","93","44","14","98","29","1.23","8.87","2.63","3.96","4.00","","1.4","1.2","2520"
"Lucas Giolito","CHW","17","17","99.0","6","6","9","0","0","88","44","15","110","33","1.22","9.93","2.98","3.95","4.00","","1.4","1.1","15474"
"Yu Darvish","SDP","16","16","97.0","6","6","9","0","0","89","43","14","101","26","1.18","9.35","2.42","3.99","3.88","","1.4","1.4","13074"
"Zac Gallen","ARI","16","16","92.0","6","6","8","0","0","86","41","11","97","31","1.28","9.45","3.06","4.02","3.79","","1.3","1.5","19291"
"José Berríos","TOR","18","18","109.0","7","6","10","0","0","104","48","15","104","29","1.23","8.61","2.43","4.00","3.98","","1.3","1.5","14168"
"Carlos Carrasco","NYM","16","16","92.0","6","5","8","0","0","86","39","12","91","26","1.21","8.90","2.55","3.76","3.79","","1.3","1.3","6632"
"Tyler Mahle","CIN","18","18","102.0","6","7","8","0","0","96","49","16","107","36","1.29","9.51","3.19","4.32","4.28","","1.3","1.5","16358"
"Jordan Montgomery","NYY","17","17","94.0","6","5","8","0","0","92","41","12","87","25","1.24","8.28","2.40","3.87","3.89","","1.3","1.1","16511"
"Germán Márquez","COL","18","18","105.0","6","7","8","0","0","113","54","15","97","33","1.39","8.32","2.84","4.66","4.20","","1.3","1.5","15038"
"Jon Gray","TEX","18","18","102.0","6","6","9","0","0","96","45","13","103","35","1.28","9.11","3.09","4.00","3.91","","1.3","1.1","14916"
"Luis Garcia","HOU","17","17","96.0","6","6","8","0","0","86","42","14","102","32","1.23","9.49","3.03","3.95","3.99","","1.3","1.1","23735"
